Time,IR,Red,Green,Blue
12.5,409665,354455,524287,428222
12.52,409716,354476,524287,428402
12.54,409755,354480,524287,428647
12.56,409642,354427,524287,428841
12.58,409157,354172,524287,428893
12.6,408108,353535,524287,428632
12.62,406938,352910,524287,427844
12.64,405973,352440,524287,426779
12.66,405222,352101,524287,425577
12.68,404749,351865,524287,424366
12.7,404361,351725,524287,423406
12.72,404165,351693,524287,422683
12.74,404027,351575,524287,422073
12.76,404005,351602,524287,421690
12.78,404095,351678,524287,421430
12.8,404205,351770,524287,421349
12.82,404253,351754,524287,421358
12.84,404299,351813,524287,421394
12.86,404351,351799,524287,421352
12.88,404309,351788,524287,421375
12.9,404225,351741,524287,421307
12.92,404224,351760,524287,421248
12.94,404254,351802,524287,421209
12.96,404270,351785,524287,421268
12.98,404414,351827,524287,421318
13,404543,351890,524287,421430
13.02,404758,352011,524287,421598
13.04,405042,352121,524287,421783
13.06,405243,352282,524287,422019
13.08,405458,352306,524287,422260
13.1,405560,352384,524287,422480
13.12,405775,352468,524287,422740
13.14,405934,352525,524287,423030
13.16,406176,352636,524287,423237
13.18,406380,352769,524287,423543
13.2,406547,352833,524287,423806
13.22,406764,352895,524287,424029
13.24,406894,352957,524287,424281
13.26,407100,353043,524287,424517
13.28,407244,353156,524287,424767
13.3,407488,353217,524287,425120
13.32,407716,353380,524287,425348
13.34,407864,353391,524287,425611
13.36,407864,353380,524287,425833
13.38,407497,353131,524287,425928
13.4,406757,352717,524287,425829
13.42,405907,352238,524287,425306
13.44,405230,351909,524287,424578
13.46,404686,351639,524287,423606
13.48,404241,351458,524287,422734
13.5,404076,351381,524287,422010
13.52,403900,351353,524287,421440
13.54,403887,351294,524287,421010
13.56,403819,351301,524287,420771
13.58,403885,351400,524287,420582
13.6,404015,351445,524287,420593
13.62,404106,351482,524287,420643
13.64,404148,351477,524287,420707
13.66,404157,351512,524287,420766
13.68,404075,351483,524287,420662
13.7,403986,351439,524287,420601
13.72,403914,351430,524287,420540
13.74,403856,351354,524287,420499
13.76,403953,351442,524287,420560
13.78,404116,351510,524287,420601
13.8,404320,351574,524287,420722
13.82,404486,351659,524287,420883
13.84,404583,351678,524287,421070
13.86,404678,351732,524287,421215
13.88,404869,351794,524287,421351
13.9,405002,351899,524287,421602
13.92,405192,351902,524287,421792
13.94,405298,351970,524287,422008
13.96,405350,351934,524287,422194
13.98,405407,352027,524287,422398
14,405740,352154,524287,422605
14.02,405826,352230,524287,422883
14.04,406020,352281,524287,423130
14.06,406118,352350,524287,423298
14.08,406234,352384,524287,423559
14.1,406444,352462,524287,423796
14.12,406702,352592,524287,424110
14.14,406900,352698,524287,424371
14.16,407136,352798,524287,424661
14.18,407003,352707,524287,424883
14.2,406295,352251,524287,424912
14.22,405550,351865,524287,424508
14.24,404974,351561,524287,423891
14.26,404566,351332,524287,423172
14.28,404201,351173,524287,422519
14.3,404051,351133,524287,422023
14.32,403961,351118,524287,421612
14.34,403895,351106,524287,421336
14.36,403817,351122,524287,421116
14.38,403818,351101,524287,420940
14.4,403793,351089,524287,420865
14.42,403777,351073,524287,420882
14.44,403754,351032,524287,420766
14.46,403644,351003,524287,420636
14.48,403604,351031,524287,420570
14.5,403450,350893,524287,420495
14.52,403359,350876,524287,420438
14.54,403363,350905,524287,420337
14.56,403448,350924,524287,420341
14.58,403608,351020,524287,420450
14.6,403793,351065,524287,420483
14.62,403979,351185,524287,420564
14.64,404188,351284,524287,420828
14.66,404499,351450,524287,421045
14.68,404938,351695,524287,421280
14.7,405317,351868,524287,421595
14.72,405638,352032,524287,421893
14.74,405932,352150,524287,422158
14.76,406146,352197,524287,422446
14.78,406340,352312,524287,422750
14.8,406506,352364,524287,423066
14.82,406654,352426,524287,423364
14.84,406812,352483,524287,423584
14.86,406984,352560,524287,423820
14.88,407193,352604,524287,424141
14.9,407334,352676,524287,424355
14.92,407427,352722,524287,424642
14.94,407563,352803,524287,424892
14.96,407441,352645,524287,425097
14.98,407143,352455,524287,425152
15,406802,352238,524287,425147
15.02,406452,352086,524287,425025
15.04,406216,351947,524287,424864
15.06,406195,351918,524287,424687
15.08,406296,351978,524287,424630
15.1,406393,352069,524287,424641
15.12,406559,352181,524287,424686
15.14,406770,352264,524287,424782
15.16,407004,352420,524287,424944
15.18,407306,352539,524287,425166
15.2,407559,352658,524287,425370
15.22,407660,352707,524287,425603
15.24,407701,352669,524287,425826
15.26,407584,352671,524287,425879
15.28,407594,352539,524287,425976
15.3,407510,352497,524287,426066
15.32,407468,352540,524287,426167
15.34,407473,352513,524287,426243
15.36,407662,352592,524287,426396
15.38,407877,352720,524287,426543
15.4,408108,352866,524287,426734
15.42,408286,352960,524287,426958
15.44,408513,353069,524287,427166
15.46,408742,353178,524287,427386
15.48,408852,353228,524287,427560
15.5,408966,353216,524287,427718
15.52,408866,353127,524287,427890
15.54,408865,353141,524287,428007
15.56,408822,353070,524287,428170
15.58,408796,353091,524287,428338
15.6,408827,353075,524287,428425
15.62,408864,353090,524287,428508
15.64,408858,353069,524287,428653
15.66,408857,353036,524287,428726
15.68,408858,353047,524287,428825
15.7,408854,353036,524287,428967
15.72,408549,352896,524287,428961
15.74,408230,352628,524287,428940
15.76,407868,352417,524287,428693
15.78,407548,352255,524287,428488
15.8,407329,352157,524287,428265
15.82,407359,352154,524287,428087
15.84,407395,352218,524287,428040
15.86,407474,352264,524287,427981
15.88,407606,352336,524287,427987
15.9,407794,352361,524287,428076
15.92,407998,352525,524287,428125
15.94,408088,352548,524287,428285
15.96,407968,352473,524287,428268
15.98,407841,352350,524287,428299
16,407662,352265,524287,428313
16.02,407598,352258,524287,428261
16.04,407508,352193,524287,428242
16.06,407468,352181,524287,428221
16.08,407423,352105,524287,428174
16.1,407466,352185,524287,428245
16.12,407636,352240,524287,428303
16.14,407782,352338,524287,428382
16.16,407966,352402,524287,428500
16.18,408147,352456,524287,428671
16.2,408253,352535,524287,428758
16.22,408423,352696,524287,428959
16.24,408604,352712,524287,429116
16.26,408693,352795,524287,429295
16.28,408709,352805,524287,429441
16.3,408817,352759,524287,429628
16.32,408873,352858,524287,429699
16.34,408957,352778,524287,429835
16.36,409021,352824,524287,429996
16.38,409007,352799,524287,430088
16.4,409030,352773,524287,430225
16.42,408968,352794,524287,430319
16.44,408656,352579,524287,430321
16.46,408061,352227,524287,430165
16.48,407370,351833,524287,429757
16.5,406873,351552,524287,429247
16.52,406607,351497,524287,428770
16.54,406579,351417,524287,428384
16.56,406613,351481,524287,428133
16.58,406645,351477,524287,427959
16.6,406751,351520,524287,427890
16.62,406847,351601,524287,427871
16.64,406926,351628,524287,427871
16.66,407021,351669,524287,427856
16.68,407176,351786,524287,427966
16.7,407262,351784,524287,428007
16.72,407182,351738,524287,428057
16.74,407118,351674,524287,428038
16.76,407028,351637,524287,427977
16.78,406972,351663,524287,428007
16.8,407071,351629,524287,428057
16.82,407115,351698,524287,428025
16.84,407162,351700,524287,428103
16.86,407306,351778,524287,428198
16.88,407431,351863,524287,428331
16.9,407558,351892,524287,428466
16.92,407747,351956,524287,428578
16.94,407776,352037,524287,428746
16.96,407899,351999,524287,428880
16.98,407983,352092,524287,429057
17,408093,352145,524287,429235
17.02,408215,352160,524287,429351
17.04,408233,352184,524287,429476
17.06,408278,352181,524287,429650
17.08,408304,352207,524287,429784
17.1,408336,352142,524287,429894
17.12,408278,352112,524287,430031
17.14,408355,352107,524287,430145
17.16,408218,352087,524287,430262
17.18,407791,351772,524287,430143
17.2,407018,351333,524287,429823
17.22,406203,350897,524287,429184
17.24,405553,350636,524287,428354
17.26,405115,350463,524287,427489
17.28,404874,350312,524287,426740
17.3,404702,350212,524287,426122
17.32,404583,350159,524287,425652
17.34,404591,350197,524287,425277
17.36,404583,350163,524287,425049
17.38,404552,350206,524287,424866
17.4,404582,350202,524287,424755
17.42,404657,350232,524287,424703
17.44,404803,350334,524287,424655
